"Time","Content.Espresso","Content.Tea","Content.Milk","Trait.Cold","Trait.HighInSugar","Trait.HighInCaffeine","Control.Exams","Control.LowerSales","Temperature","DewPoint","Humidity","WindSpeed","Pressure","Clear","Fog","Rain","Snow"
"2017-05-23 15",8,1,8,1,2,3,FALSE,FALSE,19.9,9.3,50,16,100.5,FALSE,FALSE,FALSE,FALSE
"2017-05-23 16",6,2,5,3,0,3,FALSE,FALSE,19.5,9.8,53,12,100.46,FALSE,FALSE,FALSE,FALSE
"2017-05-23 17",2,2,1,2,0,1,FALSE,FALSE,20.1,10.1,52,16,100.43,FALSE,FALSE,FALSE,FALSE
"2017-05-23 18",2,2,0,0,0,0,FALSE,FALSE,20,10.3,53,9,100.39,FALSE,FALSE,FALSE,FALSE
"2017-05-23 19",4,0,2,0,1,1,FALSE,FALSE,19.2,10.1,55,12,100.43,FALSE,FALSE,FALSE,FALSE
"2017-05-23 20",1,0,1,0,0,0,FALSE,FALSE,17.9,10.4,61,6,100.46,FALSE,FALSE,FALSE,FALSE
"2017-05-23 7",4,0,2,1,0,4,FALSE,FALSE,12.7,7.6,71,19,100.83,FALSE,FALSE,FALSE,FALSE
"2017-05-23 8",10,3,9,1,1,4,FALSE,FALSE,14.4,8.2,66,18,100.79,FALSE,FALSE,FALSE,FALSE
"2017-05-23 9",18,2,13,1,1,2,FALSE,FALSE,15.5,8.3,62,19,100.79,FALSE,FALSE,FALSE,FALSE
"2017-05-24 10",11,1,9,0,2,2,FALSE,FALSE,20.5,10.4,52,7,100.43,FALSE,FALSE,FALSE,FALSE
"2017-05-24 11",15,3,14,3,1,0,FALSE,FALSE,20.9,11.7,55,8,100.42,FALSE,FALSE,FALSE,FALSE
"2017-05-24 12",9,5,5,5,1,2,FALSE,FALSE,21.3,11.8,54,5,100.37,FALSE,FALSE,FALSE,FALSE
"2017-05-24 13",5,3,5,3,1,4,FALSE,FALSE,22.3,10.6,47,7,100.33,FALSE,FALSE,FALSE,FALSE
"2017-05-24 14",2,0,4,1,0,2,FALSE,FALSE,23.1,11.3,47,9,100.29,FALSE,FALSE,FALSE,FALSE
"2017-05-24 15",7,2,4,5,0,0,FALSE,FALSE,23.8,11,44,12,100.31,FALSE,FALSE,FALSE,FALSE
"2017-05-24 16",8,1,7,6,0,2,FALSE,FALSE,24.2,9.6,39,10,100.28,FALSE,FALSE,FALSE,FALSE
"2017-05-24 17",3,4,3,3,0,0,FALSE,FALSE,23.7,10.6,43,6,100.31,FALSE,FALSE,FALSE,FALSE
"2017-05-24 18",2,4,2,4,1,1,FALSE,FALSE,23,10.3,44,15,100.3,FALSE,FALSE,FALSE,FALSE
"2017-05-24 19",1,0,1,0,0,2,FALSE,FALSE,22.3,10,45,14,100.37,FALSE,FALSE,FALSE,FALSE
"2017-05-24 20",1,0,1,0,0,0,FALSE,FALSE,21.3,9.7,47,13,100.43,FALSE,FALSE,FALSE,FALSE
"2017-05-24 7",5,0,4,0,0,2,FALSE,FALSE,15,11.6,80,13,100.43,FALSE,FALSE,FALSE,FALSE
"2017-05-24 8",12,0,11,3,1,2,FALSE,FALSE,18.1,12.6,70,6,100.44,FALSE,FALSE,FALSE,FALSE
"2017-05-24 9",13,0,7,3,0,4,FALSE,FALSE,20.1,11.2,56,8,100.43,FALSE,FALSE,FALSE,FALSE
"2017-05-25 10",10,1,5,1,0,1,FALSE,FALSE,17.5,11.6,68,18,100.53,FALSE,FALSE,FALSE,FALSE
"2017-05-25 11",6,1,6,3,0,0,FALSE,FALSE,17.6,11.9,69,20,100.46,FALSE,FALSE,FALSE,FALSE
"2017-05-25 12",11,4,8,3,2,2,FALSE,FALSE,18,12.1,68,18,100.4,FALSE,FALSE,FALSE,FALSE
"2017-05-25 13",12,4,9,2,0,1,FALSE,FALSE,20.1,9.5,50,23,100.29,FALSE,FALSE,FALSE,FALSE
"2017-05-25 14",3,4,2,1,0,1,FALSE,FALSE,20.2,7.4,43,28,100.27,FALSE,FALSE,FALSE,FALSE
"2017-05-25 15",6,3,4,3,1,1,FALSE,FALSE,19.8,8,46,23,100.25,FALSE,FALSE,FALSE,FALSE
"2017-05-25 16",5,1,4,3,0,0,FALSE,FALSE,16.2,10.8,70,21,100.25,FALSE,FALSE,TRUE,FALSE
"2017-05-25 17",4,1,5,0,1,2,FALSE,FALSE,16,11.2,73,22,100.22,FALSE,FALSE,TRUE,FALSE
"2017-05-25 18",5,4,8,1,5,0,FALSE,FALSE,14.9,12.1,83,24,100.2,FALSE,FALSE,TRUE,FALSE
"2017-05-25 19",3,2,4,0,2,2,FALSE,FALSE,13.6,11.3,86,35,100.18,FALSE,FALSE,TRUE,FALSE
"2017-05-25 7",9,1,5,1,0,1,FALSE,FALSE,14.4,10.3,76,21,100.6,FALSE,FALSE,FALSE,FALSE
"2017-05-25 8",9,1,5,1,0,3,FALSE,FALSE,15.2,10.4,73,24,100.6,FALSE,FALSE,FALSE,FALSE
"2017-05-25 9",19,4,14,4,1,2,FALSE,FALSE,16.8,10.7,67,25,100.53,FALSE,FALSE,FALSE,FALSE
"2017-05-26 10",13,1,11,1,1,2,FALSE,FALSE,13.1,10.7,85,27,99.86,FALSE,FALSE,TRUE,FALSE
"2017-05-26 11",8,1,6,0,3,3,FALSE,FALSE,12.6,11,90,29,99.93,FALSE,TRUE,TRUE,FALSE
"2017-05-26 12",11,4,8,0,1,1,FALSE,FALSE,12.5,10.8,89,29,100,FALSE,FALSE,TRUE,FALSE
"2017-05-26 13",12,2,9,0,2,4,FALSE,FALSE,12.4,10.3,87,27,100.03,FALSE,FALSE,TRUE,FALSE
"2017-05-26 14",5,4,5,2,2,2,FALSE,FALSE,12.4,10,85,24,100.09,FALSE,FALSE,TRUE,FALSE
"2017-05-26 15",6,5,8,0,3,2,FALSE,FALSE,12.9,9.4,79,21,100.13,FALSE,FALSE,TRUE,FALSE
"2017-05-26 16",9,2,9,2,2,1,FALSE,FALSE,13,8.9,76,21,100.19,FALSE,FALSE,TRUE,FALSE
"2017-05-26 17",3,1,4,0,1,2,FALSE,FALSE,13.6,8.5,71,15,100.26,FALSE,FALSE,TRUE,FALSE
"2017-05-26 18",2,1,3,1,0,0,FALSE,FALSE,14.1,8.1,67,14,100.34,FALSE,FALSE,TRUE,FALSE
"2017-05-26 19",3,0,2,0,0,1,FALSE,FALSE,13.5,8.2,70,8,100.39,FALSE,FALSE,FALSE,FALSE
"2017-05-26 20",1,0,0,0,0,0,FALSE,FALSE,13.1,8.4,73,8,100.45,FALSE,FALSE,FALSE,FALSE
"2017-05-26 7",8,1,4,0,0,1,FALSE,FALSE,12.4,10.3,87,24,99.84,FALSE,FALSE,TRUE,FALSE
"2017-05-26 8",19,2,16,0,0,2,FALSE,FALSE,12.4,10.5,88,26,99.84,FALSE,FALSE,TRUE,FALSE
"2017-05-26 9",5,5,1,0,0,7,FALSE,FALSE,13,10.7,86,26,99.84,FALSE,FALSE,TRUE,FALSE
"2017-05-27 10",20,5,15,5,1,5,FALSE,FALSE,18.4,12.2,67,15,100.74,FALSE,FALSE,FALSE,FALSE
"2017-05-27 11",11,1,10,5,1,5,FALSE,FALSE,19.5,11.9,61,18,100.74,FALSE,FALSE,FALSE,FALSE
"2017-05-27 12",13,3,12,8,2,3,FALSE,FALSE,20.5,12.6,60,21,100.72,FALSE,FALSE,FALSE,FALSE
"2017-05-27 13",8,3,7,6,0,4,FALSE,FALSE,20.9,13,60,18,100.7,TRUE,FALSE,FALSE,FALSE
"2017-05-27 14",5,1,3,4,0,0,FALSE,FALSE,21.6,12.6,56,16,100.67,TRUE,FALSE,FALSE,FALSE
"2017-05-27 15",6,3,4,7,0,1,FALSE,FALSE,21.9,10.6,48,16,100.65,TRUE,FALSE,FALSE,FALSE
"2017-05-27 16",3,4,5,3,2,2,FALSE,FALSE,22.1,10.1,46,15,100.62,TRUE,FALSE,FALSE,FALSE
"2017-05-27 17",4,3,3,3,0,1,FALSE,FALSE,22,9.4,44,13,100.61,TRUE,FALSE,FALSE,FALSE
"2017-05-27 18",2,1,3,1,1,1,FALSE,FALSE,21.2,9.6,47,12,100.63,TRUE,FALSE,FALSE,FALSE
"2017-05-27 19",0,0,0,0,0,1,FALSE,FALSE,20.5,8.9,47,9,100.67,FALSE,FALSE,FALSE,FALSE
"2017-05-27 20",1,0,2,1,0,1,FALSE,FALSE,19.6,9.9,53,9,100.71,FALSE,FALSE,FALSE,FALSE
"2017-05-27 9",12,1,8,1,0,5,FALSE,FALSE,17.5,12.5,72,16,100.74,FALSE,FALSE,FALSE,FALSE
"2017-05-28 10",7,3,9,3,3,7,FALSE,FALSE,20.7,13.5,63,5,100.75,FALSE,FALSE,FALSE,FALSE
"2017-05-28 11",11,2,6,11,0,5,FALSE,FALSE,22.6,13.8,57,13,100.75,FALSE,FALSE,FALSE,FALSE
"2017-05-28 12",8,2,5,6,0,4,FALSE,FALSE,23.6,12.7,50,9,100.75,FALSE,FALSE,FALSE,FALSE
"2017-05-28 13",12,5,11,5,0,1,FALSE,FALSE,23.5,11.1,45,9,100.74,FALSE,FALSE,FALSE,FALSE
"2017-05-28 14",7,6,5,6,0,0,FALSE,FALSE,24.9,12.3,45,10,100.69,FALSE,FALSE,FALSE,FALSE
"2017-05-28 15",13,8,11,11,3,0,FALSE,FALSE,25.4,11,40,15,100.64,FALSE,FALSE,FALSE,FALSE
"2017-05-28 16",4,0,4,0,0,0,FALSE,FALSE,25.6,10.1,37,19,100.58,FALSE,FALSE,FALSE,FALSE
"2017-05-28 17",5,0,5,0,0,1,FALSE,FALSE,25.4,8.6,34,17,100.54,FALSE,FALSE,FALSE,FALSE
"2017-05-28 18",6,1,5,2,0,1,FALSE,FALSE,24.8,6.8,31,17,100.53,FALSE,FALSE,FALSE,FALSE
"2017-05-28 19",2,2,2,2,0,2,FALSE,FALSE,23.6,8.7,38,16,100.54,FALSE,FALSE,FALSE,FALSE
"2017-05-28 9",7,0,7,0,3,5,FALSE,FALSE,18.9,12.7,67,12,100.77,FALSE,FALSE,FALSE,FALSE
"2017-05-29 10",7,2,6,0,2,2,FALSE,FALSE,17.9,10.6,62,31,100.66,FALSE,FALSE,FALSE,FALSE
"2017-05-29 11",16,1,12,2,0,2,FALSE,FALSE,17.1,10.8,66,40,100.71,FALSE,FALSE,TRUE,FALSE
"2017-05-29 12",5,3,8,1,3,3,FALSE,FALSE,14.8,12,83,30,100.78,FALSE,FALSE,TRUE,FALSE
